text,likes,comment_id,sentiment
I remember finishing my first I went back so many times to change a page because I didnt like it its refreshing to see someone like you strangling just like we all did It reminds me that all the steps and struggles are just part of the learning process keep it up youre inspiring a new generation of artists and you probably dont even know it,0,UgwD64UPiU2A9hyw8BN4AaABAg,negative
Next video I turned my manga to an anime,0,UgxLDOTLqsr55AO8Uk14AaABAg,neutral
Ngl i missed seeing his gameplay Would love to see him playing RE Requiem,0,UgzonbWj6BsRvDRaO_Z4AaABAg,positive
Thank you for always being such an awesome inspiration,0,UgwJVya7UPeN4zrjM2p4AaABAg,positive
guys he draws a bit better than me i need him cancelled NOW,0,Ugx3RIabmhVXdxCDMLZ4AaABAg,positive
The story was really good,0,UgxXzB0gmOjf5tl6mvN4AaABAg,positive
Felix this is just blame,0,UgyE2eVio4ptIXNiXjN4AaABAg,negative
try to add stefano at the background HAHAHA,0,UgxHmZNYkkxR4z-QNbx4AaABAg,positive
The mountains are really beautifully done The Tiger is also well drawn in that panel It does give some vibes that Blame does like travelling and you dont where your going But its really mountain drawings that impressed me the most,0,UgxsWWwnsT5wh--JDst4AaABAg,positive
Is made in Japan and its in Japanese Bro single handedly beat the system People get way to picky about the definition of things If you make a taco in America with the same techniques and ingredients its still a taco,0,UgzzPVJhrFRitpE1aWd4AaABAg,neutral
When are you gonna build your own quantum computer my guy,0,UgzasKfKSYvGcN_DJ_d4AaABAg,neutral
I can see the tower dungeon in your art style Its so beautiful,0,Ugz_C0S4X0_8y7vwODV4AaABAg,positive
1207 pewds man did you light up the beak you need to burn it a little bit to take it off residuos when you use nankin with residous the ink will be clogued in the middle so light it up the point like a cigarret for 1 or 2 seconds e then you try it on a text paper it will come out smoothly,0,UgwaJEpCO7mDBdVLBDR4AaABAg,positive
Dude great job This video was very inspiring,0,UgxfGxCUK261ffg4XCJ4AaABAg,positive
Tuff bro,0,Ugxbh3ryWVd7qkmkSvZ4AaABAg,neutral
It reminds me of Ghibli kinda vibe congratulations to your project pewds ,0,UgzWIqjLp22YmW-MfuR4AaABAg,positive
Pewds still rocking it in life Respect,0,UgwXl-Xt2odpcto2gap4AaABAg,positive
Felix constantly berating his own artwork is a mood have some confidence,0,Ugx0ca4eSn8_hDbcVWt4AaABAg,positive
I actually cried about the tigger,0,UgzAGU_eCeDWaPIOsTp4AaABAg,negative
I miss the person who once made a banger song named  Btch Lazanya  and played Minecraft and made controversies around the Youtube Community ,0,UgxzrCVrKnCdwhm-V4h4AaABAg,positive
Thank you very much for creating Odysseus ,0,UgzzDRX1GmBoxlEN4mR4AaABAg,positive
so sick really enjoyed the story nice loopback also in the end pewdiepie anime when D,0,Ugx6fUfDDEOmzsfdNPx4AaABAg,positive
Some good stuff bro maybe next challenge try to make a doujinshi and sell it at Comiket,0,UgzvVqHHvB29m8Uz-WN4AaABAg,positive
I wish he could collab with a professional mangaka and teach him some tips in how to draw manga and give him some clarity,0,UgzrZPj2JIVJdaLAfBJ4AaABAg,positive
whooaaaaim so invested in the manga you created,0,Ugyxttnx0PzeWiXyPlN4AaABAg,positive
Im curious what languages Bjorn is learning as his first languages Just English and Japanese Or is he learning Swedish and Italian too,0,UgyEyUSTihK6b5BSMUR4AaABAg,positive
You are the goat  smooch,0,UgyJUNc-wlVd4un4S594AaABAg,neutral
"Next Project painting a huge warhammer mini 3 
love the tigers",0,UgzPVId2oP1Lmel_ZQF4AaABAg,positive
Never let them know your next move,0,UgzdN9U-3pHcWXCsJJN4AaABAg,neutral
I can see tigers heart but I know hes mean Some light can never be seen,0,UgwU2iOszO12y9Nzusd4AaABAg,neutral
Please publish this holy crap,0,UgzaETDxEDYmp6pCTiV4AaABAg,negative
Make romance manga please ,0,UgxDMQdDM3okiw5Xuv94AaABAg,positive
That was amazing Reminds me a bit of calvin and hobbes in another universe ,1,UgxM95u9LhZ_QA9DGk94AaABAg,positive
Dog aggressively licking felixs ear 1040,0,UgxPKPdG6xj-83hHGLx4AaABAg,negative
This guys is pretty cool I love watching Indie youtubers,0,UgxmdYcR7zNeYKteiPx4AaABAg,positive
r Bjorn supposed to be Bjrn,0,UgzYcWoFWhRlhNMqNcl4AaABAg,neutral
I really like it It is not just pretty I can feel the whole environment clearly Which is really a hard thing to convey,0,Ugw69AlgA-eh3o1dltV4AaABAg,positive
Bruh is so good I has Bernarda drawing by almost 6 years and ley me told you tris is a really good fiesta shoot You used the tones really well and the narrativa is good the trouble probable is that you make it a  little bit to much cinematografic and everything has almost the same narrativa density so thats why it feels off but let me told you something this is amazing,0,UgyZI6FXm73PtIGeqUF4AaABAg,positive
I love how I uncover a personal lesson here Damn this is cool,0,Ugw6LwPFucSl1DRnWBp4AaABAg,positive
The story actually made me tear up a little at the end Beautifully done,0,UgyXO-3VqB5LlaTiMX54AaABAg,positive
Gotta watch every episode of Manben bro learn how to from the masters,0,Ugx8R5TtybrMh6H8LTJ4AaABAg,neutral
The story is very good,0,Ugy851HZXrLI4M5B48Z4AaABAg,positive
the tigers are drawn so well wtf,0,UgxAFra4n3hDQBuXRzd4AaABAg,negative
I would rather create tens of thousands of dream images using AI not wasting time on process of drawing stuff Trillions of study and other things to do in short life words alone can never describe,0,Ugz4MyivMAIdH18BGzB4AaABAg,positive
Never like a video that fast,0,UgwSPqrbnXn8bnyiCaV4AaABAg,negative
The reason I draw is because of PewDiePie 2 years ago He inspired me to start drawing,0,Ugze3A-8u4WYaJKTmVZ4AaABAg,positive
Youre an inspiration to us all Pewds ,0,UgwMQyv2kspFhPDdIsh4AaABAg,positive
we will forever miss our fav minecraft youtuber,1,UgyeDOOw7rAZDfZKisZ4AaABAg,positive
pewds i think youre too hard on yourself,1,UgxYZpWZ342fvy4P5c54AaABAg,negative
What exactly is your channel Is it daily but not daily vlogging,0,Ugwqb4g4aI2SEt0hksp4AaABAg,neutral
Pewds you need to play more trap adventure 2,0,UgyvsrOhtMYkXOD7Z794AaABAg,positive
something about a little white baby speaking japanese is just so bizarre,0,UgwLkY0UN9yP5KyDV9l4AaABAg,negative
STOP doing things PLEASE,0,Ugy-r2CPhODKtkyxsSZ4AaABAg,neutral
Do I hear a WIT studio is turning my manga into an anime collab in the near future ,1,UgwgRvFc100I46lYtEt4AaABAg,neutral
you can use 3d models or just real life photos to help draw complex shapes such as horses,0,UgzRk8X8ULfCF-1IZD14AaABAg,positive
what is his earphone brand the mic is sick for an earphone ,0,UgwPspaaNgiHvq8QGC94AaABAg,negative
PLEASE PUBLISH Please,0,Ugxw06f9eq-ClaRoKIh4AaABAg,positive
Im freaking blown away he just started learning to draw recently  so awesome pewds,0,Ugx5tCzDxPozudKndQR4AaABAg,positive
Colorbrushes are my some of my favorite art supplies,0,UgzqonNEOBvLNTT_NRV4AaABAg,positive
This is amazing,0,UgxeIxT5LXL-jPaNa4l4AaABAg,positive
12 years later and I am still here watching Love you Pewds keep having an amazing adventure You are always an inspiration 3,0,Ugzf7oDAeVJH_Sphqf94AaABAg,positive
My main advice for you manga project is to have another kid,0,UgwlCPqB4XqWDUTthXp4AaABAg,neutral
Your art is really pleasing to look at that includes the water color one,0,UgxZPEuDCRhA9gZ7AB54AaABAg,positive
What are we doing gang  This man is supposed to be my photoshop goat,1,Ugz4JvlU5LVcbGgis4N4AaABAg,neutral
Way way better than expected,0,UgwOuKEfzOX_hRl80WV4AaABAg,positive
2 decades from now pewdiepie is going to be solving ftl travel because he can,0,Ugx1JBFZ5GwefT9Dcal4AaABAg,positive
527 Hey guys I think I found a glue,0,UgyNJuH8riwV-QXTXjt4AaABAg,neutral
What i would give to see pewds play bob in tekken 8,0,UgxExgg-uRmAuOBqEtl4AaABAg,positive
This video was amazing learned a lot,0,Ugy3q_3QITHXU6dW44R4AaABAg,positive
remember when he said the N word,0,UgwMu8LN0hrev9MHCy94AaABAg,neutral
Hello today I saw the protests of Turkish players and I felt really bad for them GTA 6 doesnt support their native language yet they are so excited and havent lost hope they are actively using hashtags and messaging Rockstar to get Turkish language support added to the game Please empathize with the sense of incompleteness that comes from not being able to play a game in your native language and please be a supporter of them,0,Ugy0uHWDOnDzzTv1_nd4AaABAg,positive
I keep having horrible time with motivation in my life which includes drawing but whenever I see you draw I genuinely want to try again You worked to hard to get where you are now and I think its incredible I love your manga,0,UgwxgVuoWJq2vqDpoVt4AaABAg,positive
Father time aint it,0,Ugxclbxx12oMKu0zZUd4AaABAg,neutral
twin please illustrate shounen ai,0,UgxJSmX9b1BMXP74xSB4AaABAg,positive
Blame as the manga bible is right Such a great artist and he has so  much going on with just architecture and simple looking figures And you can watch the mangaka get so much better from volum1 onwards He knew waht he was doing but wasnt such a fantastic artist in volume 1 and 2,0,UgzkvDOATW7pSrwTynt4AaABAg,negative
Youre not gonna be good at a thing by not doing the thing ,0,UgxyuOZFkBB22PWK8Wt4AaABAg,negative
The kitten got me ,0,Ugwfk2D1k6nY4Wz6zRp4AaABAg,neutral
